employee_id,team,date,work_days,home_days,office_env,home_env,relationships,role,connections,involvement,lonliness,productivity
11,Production,2020-01-03,1,4,3,5,5,3,3,1,5,3
11,Production,2020-01-10,5,0,3,1,4,3,4,3,4,3
11,Production,2020-01-17,2,3,1,2,2,1,1,3,4,1
11,Production,2020-01-24,2,3,4,1,4,2,3,5,2,3
11,Production,2020-01-31,4,1,2,2,2,5,5,4,3,3
11,Production,2020-02-07,5,0,1,4,4,4,4,5,1,3
11,Production,2020-02-14,2,3,3,2,3,3,3,4,2,1
11,Production,2020-02-21,1,4,1,3,1,3,1,2,4,5
11,Production,2020-02-28,4,1,3,5,2,5,3,4,5,2
11,Production,2020-03-06,1,4,3,2,3,1,5,2,1,1
11,Production,2020-03-13,3,2,2,5,3,4,2,2,2,4
11,Production,2020-03-20,2,3,5,1,5,3,2,2,4,5
11,Production,2020-03-27,5,0,4,2,4,2,3,5,3,3
11,Production,2020-04-03,1,4,4,4,1,3,1,1,3,2
11,Production,2020-04-10,4,1,1,5,1,3,2,4,3,1
11,Production,2020-04-17,2,3,4,4,2,5,2,2,3,4
11,Production,2020-04-24,2,3,2,5,4,1,5,3,3,5
11,Production,2020-05-01,4,1,2,3,1,2,3,3,3,2
11,Production,2020-05-08,4,1,5,2,1,4,5,1,3,3
11,Production,2020-05-15,4,1,4,3,5,5,4,3,5,4
11,Production,2020-05-22,5,0,1,5,2,4,2,2,1,4
11,Production,2020-05-29,5,0,4,2,2,1,4,3,2,1
11,Production,2020-06-05,2,3,5,1,4,4,1,3,4,4
11,Production,2020-06-12,4,1,2,4,4,1,5,5,5,4
11,Production,2020-06-19,4,1,4,5,5,2,3,2,1,1
11,Production,2020-06-26,1,4,4,5,4,2,2,1,4,5
11,Production,2020-07-03,1,4,2,5,3,2,5,4,4,2
11,Production,2020-07-10,5,0,2,1,3,4,2,5,4,2
11,Production,2020-07-17,5,0,4,4,5,4,2,4,3,2
11,Production,2020-07-24,4,1,4,2,4,4,1,3,3,4
11,Production,2020-07-31,3,2,4,5,2,2,2,3,5,3
11,Production,2020-08-07,3,2,3,1,4,4,2,3,2,3
11,Production,2020-08-14,2,3,3,4,3,5,4,3,4,5
11,Production,2020-08-21,4,1,5,4,3,5,2,3,2,2
11,Production,2020-08-28,3,2,4,2,1,4,4,4,4,4
11,Production,2020-09-04,1,4,4,3,2,1,1,3,3,1
11,Production,2020-09-11,3,2,3,5,5,2,3,5,2,4
11,Production,2020-09-18,1,4,2,4,5,4,4,2,4,3
11,Production,2020-09-25,5,0,2,4,1,4,4,1,2,3
11,Production,2020-10-02,3,2,3,4,2,5,3,5,3,3
11,Production,2020-10-09,3,2,3,2,4,2,5,2,2,3
11,Production,2020-10-16,5,0,3,3,4,3,4,2,1,2
11,Production,2020-10-23,2,3,1,3,5,1,3,2,3,1
11,Production,2020-10-30,4,1,3,1,1,2,3,2,5,1
11,Production,2020-11-06,3,2,3,3,5,5,3,1,1,2
11,Production,2020-11-13,3,2,5,5,5,5,2,4,2,3
11,Production,2020-11-20,3,2,2,2,4,1,3,5,4,3
11,Production,2020-11-27,2,3,2,4,2,2,1,4,1,3
11,Production,2020-12-04,1,4,4,5,2,1,3,2,4,3
11,Production,2020-12-11,5,0,2,5,2,3,5,4,3,1
11,Production,2020-12-18,4,1,4,4,4,4,2,3,2,3
11,Production,2020-12-25,4,1,3,3,4,2,2,3,2,3
12,Production,2020-01-03,5,0,1,3,4,1,2,2,2,3
12,Production,2020-01-10,4,1,3,3,2,2,4,3,2,5
12,Production,2020-01-17,4,1,3,5,4,3,3,1,4,1
12,Production,2020-01-24,4,1,1,2,1,3,3,5,3,2
12,Production,2020-01-31,2,3,5,3,3,4,3,3,2,4
12,Production,2020-02-07,3,2,2,5,3,3,3,3,5,1
12,Production,2020-02-14,1,4,1,5,5,3,5,5,2,5
12,Production,2020-02-21,2,3,4,1,3,3,4,2,5,2
12,Production,2020-02-28,5,0,2,4,3,1,3,2,5,2
12,Production,2020-03-06,4,1,2,1,3,1,3,4,1,2
12,Production,2020-03-13,4,1,1,2,5,5,5,2,4,2
12,Production,2020-03-20,4,1,3,2,2,4,4,5,4,1
